date,post_url,post_topic,content_type,pillar,impressions,reactions,comments,shares,total_engagements,engagement_rate,new_followers
7/12/25,https://www.linkedin.com/posts/s-thiru_im-happy-to-share-that-ive-obtained-a-new-ugcPost-7349918212626571265-yXYg,I'm Happy to Share That I've Obtained a New Certification,Original,Reflection,70,4,1,0,2,0.0286,
7/13/26,https://www.linkedin.com/posts/s-thiru_careeradvice-leadership-techcareers-share-7482627366121402368-mQ91,Nobody Knew What Would,Repost+Commentary,Reflection,11,1,0,0,0,0,0
7/14/26,https://www.linkedin.com/posts/s-thiru_innovation-history-entrepreneurship-ugcPost-7481630345667325952-uuXq,Hughes Was Basically the 1940s Elon Musk,Article,Reflection,88,5,0,0,3,0.0341,3
7/14/26,https://www.linkedin.com/posts/s-thiru_burnout-worklifebalance-leadership-share-7482827798571831296-11VN,This Resonates and It Echoes Something I've,Repost+Commentary,Reflection,3,0,0,0,0,0,
7/14/26,https://www.linkedin.com/posts/s-thiru_storytelling-innovation-leadership-share-7482870341233516545-XLFp,Ever Wonder Who the Elon,Original,Reflection,48,1,3,0,1,0.0208,3
7/15/26,https://www.linkedin.com/posts/s-thiru_linkedin-pulse-share-7483188388079149057-vNIF,LinkedIn Pulse,Repost+Commentary,Innovation,11,,,,0,0,3
7/15/26,https://www.linkedin.com/posts/s-thiru_machinelearning-ai-datascience-ugcPost-7481642156231827457-kV9r,"Output, Inference, and Prediction: Why Engineers",Original,AI/ML,13,1,0,0,0,0,3
7/15/26,https://www.linkedin.com/feed/update/urn:li:share:7483188472187490304,"""𝘽𝙪𝙨𝙮 𝙬𝙤𝙧𝙠 𝙘𝙖𝙣 𝙡𝙤𝙤𝙠 𝙡𝙞𝙠𝙚 𝙥𝙧𝙤𝙜𝙧𝙚𝙨𝙨. 𝙊𝙣𝙡𝙮 𝙢𝙚𝙖𝙨𝙪𝙧𝙖𝙗𝙡𝙚 𝙤𝙪𝙩𝙘𝙤𝙢𝙚𝙨 𝙥𝙧𝙤𝙫𝙚 𝙩𝙧𝙖𝙣𝙨𝙛𝙤𝙧𝙢𝙖𝙩𝙞𝙤𝙣",Original,Program Mgmt.,70,0,1,0,1,0.0143,0
7/15/26,https://www.linkedin.com/feed/update/urn:li:share:7483188388079149057,"""𝘽𝙪𝙨𝙮 𝙬𝙤𝙧𝙠 𝙘𝙖𝙣 𝙡𝙤𝙤𝙠 𝙡𝙞𝙠𝙚 𝙥𝙧𝙤𝙜𝙧𝙚𝙨𝙨. 𝙊𝙣𝙡𝙮 𝙢𝙚𝙖𝙨𝙪𝙧𝙖𝙗𝙡𝙚 𝙤𝙪𝙩𝙘𝙤𝙢𝙚𝙨 𝙥𝙧𝙤𝙫𝙚 𝙩𝙧𝙖𝙣𝙨𝙛𝙤𝙧𝙢𝙖𝙩𝙞𝙤𝙣",Original,Program Mgmt.,155,0,0,0,1,0.0065,0
7/15/26,https://www.linkedin.com/feed/update/urn:li:share:7483255070113972224,"""𝐁𝐮𝐬𝐲 𝐰𝐨𝐫𝐤 𝐜𝐚𝐧 𝐥𝐨𝐨𝐤 𝐥𝐢𝐤𝐞 𝐩𝐫𝐨𝐠𝐫𝐞𝐬𝐬. 𝐎𝐧𝐥𝐲 𝐦𝐞𝐚𝐬𝐮𝐫𝐚𝐛𝐥𝐞 𝐨𝐮𝐭𝐜𝐨𝐦𝐞𝐬 𝐩𝐫𝐨𝐯𝐞 𝐭𝐫𝐚𝐧𝐬𝐟𝐨𝐫𝐦𝐚𝐭𝐢𝐨𝐧",Original,Program Mgmt.,61,0,0,0,0,0,0
7/16/26,https://www.linkedin.com/posts/s-thiru_agenticai-smarthome-aiethics-share-7483486963497525248-T9tX,Agentic Homes: A Frictionless,Original,AI/ML,12,0,0,0,3,0.25,0
7/16/26,https://www.linkedin.com/posts/s-thiru_leadership-businessstrategy-management-share-7483371288401727488-qVJ0,The Line That Stayed With Me: The Malicious,Repost+Commentary,Innovation,5,0,1,0,0,0,
7/16/26,https://www.linkedin.com/posts/s-thiru_ugcPost-7483714073147383808-djuq,The Rise of Agentic Software Development,Original,AI/ML,10,0,0,0,0,0,
7/16/26,https://www.linkedin.com/posts/s-thiru_aieconomics-tokeneconomy-generativeai-share-7483680952347570176-5Kdb,AI Economics: Token Economy & Generative AI,Original,AI/ML,10,,,,0,0,
7/16/26,https://www.linkedin.com/feed/update/urn:li:share:7483365219654758401,https://lnkd.in/dqp3_Tyj,Original,Innovation,0,0,0,0,0,0,0
7/16/26,https://www.linkedin.com/feed/update/urn:li:share:7483371280591806464,"The line that stayed with me: ""𝐓𝐡𝐞 𝐦𝐚𝐥𝐢𝐜𝐢𝐨𝐮𝐬 𝐢𝐧𝐬𝐢𝐝𝐞𝐫 𝐚𝐧𝐝 𝐭𝐡𝐞 𝐰𝐞𝐥𝐥-𝐦𝐞𝐚𝐧𝐢𝐧𝐠 𝐨𝐧𝐞 𝐠𝐞",Original,Innovation,118,0,1,0,1,0.0085,0
7/16/26,https://www.linkedin.com/feed/update/urn:li:share:7483364724416339968,"The line that stayed with me: ""The malicious insider and the well-meaning one ge",Original,Platform Engg.,0,0,0,0,0,0,0
7/16/26,https://www.linkedin.com/feed/update/urn:li:share:7483486968094490624,"𝐀𝐠𝐞𝐧𝐭𝐢𝐜 𝐇𝐨𝐦𝐞𝐬: 𝐀 𝐅𝐫𝐢𝐜𝐭𝐢𝐨𝐧𝐥𝐞𝐬𝐬 𝐑𝐞𝐥𝐢𝐞𝐟 𝐨𝐫 𝐚 𝐖𝐚𝐥𝐥𝐞𝐝 𝐆𝐚𝐫𝐝𝐞𝐧 𝐍𝐢𝐠𝐡𝐭𝐦𝐚𝐫𝐞? 
Smart homes",Original,Product,23,0,0,0,0,0,0
7/16/26,https://www.linkedin.com/feed/update/urn:li:share:7483486963497525248,"𝐀𝐠𝐞𝐧𝐭𝐢𝐜 𝐇𝐨𝐦𝐞𝐬: 𝐀 𝐅𝐫𝐢𝐜𝐭𝐢𝐨𝐧𝐥𝐞𝐬𝐬 𝐑𝐞𝐥𝐢𝐞𝐟 𝐨𝐫 𝐚 𝐖𝐚𝐥𝐥𝐞𝐝 𝐆𝐚𝐫𝐝𝐞𝐧 𝐍𝐢𝐠𝐡𝐭𝐦𝐚𝐫𝐞? 
Smart homes",Original,AI/ML,123,0,0,0,0,0,0
7/17/26,https://www.linkedin.com/posts/s-thiru_platformthinking-enterprisearchitecture-platformengineering-share-7483976009793400832-9rhs,Platform Thinking: Enterprise Architecture & Platform Engineering,Original,Platform Engg.,38,,,,1,0.0263,0
7/17/26,https://www.linkedin.com/posts/s-thiru_the-rise-of-agentic-software-development-share-7483845635582984193-JjGm,The Rise of Agentic Software Development,Original,AI/ML,8,0,0,0,0,0,
7/17/26,https://www.linkedin.com/feed/update/urn:li:share:7483976009793400832,"𝐖𝐡𝐲 𝐏𝐥𝐚𝐭𝐟𝐨𝐫𝐦 𝐓𝐡𝐢𝐧𝐤𝐢𝐧𝐠 𝐍𝐞𝐞𝐝𝐬 𝐄𝐧𝐭𝐞𝐫𝐩𝐫𝐢𝐬𝐞 𝐀𝐫𝐜𝐡𝐢𝐭𝐞𝐜𝐭𝐮𝐫𝐞? 
𝘈𝘯𝘥 𝘩𝘰𝘸 𝘴𝘵𝘳𝘰𝘯𝘨 𝘢𝘳𝘤𝘩𝘪𝘵𝘦𝘤𝘵𝘶𝘳",Original,Platform Engg.,192,1,1,0,2,0.0104,0
7/17/26,https://www.linkedin.com/feed/update/urn:li:share:7483975940147134464,"𝐖𝐡𝐲 𝐏𝐥𝐚𝐭𝐟𝐨𝐫𝐦 𝐓𝐡𝐢𝐧𝐤𝐢𝐧𝐠 𝐍𝐞𝐞𝐝𝐬 𝐄𝐧𝐭𝐞𝐫𝐩𝐫𝐢𝐬𝐞 𝐀𝐫𝐜𝐡𝐢𝐭𝐞𝐜𝐭𝐮𝐫𝐞? 
𝘈𝘯𝘥 𝘩𝘰𝘸 𝘴𝘵𝘳𝘰𝘯𝘨 𝘢𝘳𝘤𝘩𝘪𝘵𝘦𝘤𝘵𝘶𝘳",Original,Platform Engg.,4,0,1,0,1,0.25,0
7/17/26,https://www.linkedin.com/feed/update/urn:li:share:7483680952347570176,"""Value per token"" is the framing I hadn't heard before, more useful than countin",Original,Reflection,144,0,0,0,0,0,0
7/17/25,https://www.linkedin.com/posts/s-thiru_im-happy-to-share-that-ive-obtained-a-new-ugcPost-7351717386795786240-crDp,I'm Happy to Share That I've Obtained a New Certification,Original,Reflection,143,0,0,0,2,0.014,
7/19/26,https://www.linkedin.com/posts/s-thiru_agenticai-smarthome-aiethics-ugcPost-7484624610966089728-tXTw,Agentic AI: Smart Home & AI Ethics,Article,AI/ML,34,,,,0,0,2
7/19/26,https://www.linkedin.com/posts/s-thiru_corporateculture-middlemanagement-techhumor-ugcPost-7484647074844737536-tglS,Corporate Culture: Middle Management & Tech Humor,Article,Reflection,82,,,,0,0,2
7/19/26,https://www.linkedin.com/feed/update/urn:li:ugcPost:7484647074844737536,"𝐄𝐯𝐞𝐫 𝐩𝐢𝐭𝐜𝐡𝐞𝐝 𝐚 𝐠𝐚𝐦𝐞-𝐜𝐡𝐚𝐧𝐠𝐢𝐧𝐠 𝐢𝐝𝐞𝐚, 𝐨𝐧𝐥𝐲 𝐭𝐨 𝐡𝐚𝐯𝐞 𝐚𝐧 𝐞𝐱𝐞𝐜𝐮𝐭𝐢𝐯𝐞 𝐤𝐢𝐥𝐥 𝐲𝐨𝐮𝐫 𝐛𝐮𝐝𝐠𝐞𝐭 𝐚𝐧",Original,Innovation,594,3,0,0,3,0.0051,0
7/20/25,https://www.linkedin.com/feed/update/urn:li:share:7352704418871398400,"""Great talent can be built"" - Thanks! @Caitlin Weiser",Original,Reflection,163,0,0,0,0,0,0
7/20/26,https://www.linkedin.com/posts/s-thiru_corporateculture-middlemanagement-techhumor-share-7484489826369708032-V6G1,Corporate Culture: Middle Management & Tech Humor,Original (Article teaser),Reflection,16,,,,0,0,0
7/20/26,https://www.linkedin.com/posts/s-thiru_artificialintelligence-privateequity-valuecreation-share-7485053902799831040-6G2D,McKinsey's AI ladder and My Career Parallels,Repost+Commentary,Product,9,,,,0,0,0
7/20/26,https://www.linkedin.com/feed/update/urn:li:share:7484489826369708032,"𝐄𝐯𝐞𝐫 𝐩𝐢𝐭𝐜𝐡𝐞𝐝 𝐚 𝐠𝐚𝐦𝐞-𝐜𝐡𝐚𝐧𝐠𝐢𝐧𝐠 𝐢𝐝𝐞𝐚, 𝐨𝐧𝐥𝐲 𝐭𝐨 𝐡𝐚𝐯𝐞 𝐚𝐧 𝐞𝐱𝐞𝐜𝐮𝐭𝐢𝐯𝐞 𝐤𝐢𝐥𝐥 𝐲𝐨𝐮𝐫 𝐛𝐮𝐝𝐠𝐞𝐭 𝐚𝐧",Original,Innovation,105,3,0,1,0,0,0
7/20/26,https://www.linkedin.com/feed/update/urn:li:share:7485053902799831040,"McKinsey's AI ladder reflects my work. At Xperi, ML decreased latency by 98%. At",Original,Reflection,83,2,0,0,2,0.0241,0
7/20/25,https://www.linkedin.com/posts/s-thiru_3-reasons-that-hiring-a-perfect-unicorn-employee-share-7352704418871398400-s9NA,3 Reasons That Hiring a Perfect Unicorn Employee,Repost+Commentary,Reflection,84,,,,0,0,0
7/21/26,https://www.linkedin.com/posts/s-thiru_linkedin-gives-you-a-snapshot-of-your-posts-ugcPost-7485394040792907776-Lb41,I Built My Own Analytics Dashboard Because LinkedIn's Wasn't Enough,Original,Product,18,,,,0,0,1
7/21/26,https://www.linkedin.com/feed/update/urn:li:ugcPost:7485394040792907776,"LinkedIn gives you a snapshot of your posts. It doesn't give you a story. So, af",Original,Reflection,96,2,0,0,2,0.0208,0
7/21/26,https://www.linkedin.com/feed/update/urn:li:share:7485395088026669056,"LinkedIn gives you a snapshot of your posts. It doesn't give you a story. So, at",Original,Reflection,1,0,0,0,0,0,0
7/22/26,https://www.linkedin.com/posts/s-thiru_caterpillar-engineering-productdevelopment-share-7485518173430087681-c1rQ,Found an Old Friend on Caterpillar's Website Today,Original,Product,73,0,0,0,0,0,5
7/23/26,https://www.linkedin.com/posts/s-thiru_edgeai-embeddedsystems-microcontrollers-share-7486182327937691650-oB3D,Career Development: Edge Embedded Systems Microcontrollers,Original,Reflection,18,,,,0,0,4
7/23/26,https://www.linkedin.com/feed/update/urn:li:share:7486182660264886272,"The technology moves fast enough that staying hands on with it isn't optional, i",Original,Reflection,0,0,0,0,0,0,0
7/23/26,https://www.linkedin.com/feed/update/urn:li:share:7486182327937691650,"Just wrapped up the Edge AI for Microcontrollers Specialization, and it turned i",Original,Reflection,87,1,0,0,1,0.0115,0
7/24/26,https://www.linkedin.com/posts/s-thiru_love-the-framework-suggested-here-but-i-share-7486479739461914624-YoHG,Rewiring Public Sector for the AI era,Repost+Commentary,AI/ML,38,,,,0,0,2
7/24/26,https://www.linkedin.com/posts/s-thiru_jeffs-framework-assumes-youre-free-to-ask-share-7486268738783297536-Qf_p,Innovation 101 for manufacturers,Repost+Commentary,Innovation,112,,,,2,0.0179,
7/24/26,https://www.linkedin.com/posts/s-thiru_%F0%9D%97%A0%F0%9D%97%B6%F0%9D%97%B0%F0%9D%97%BF%F0%9D%97%BC%F0%9D%98%80%F0%9D%97%BC%F0%9D%97%B3%F0%9D%98%81-%F0%9D%97%97%F0%9D%97%B6%F0%9D%97%B1%F0%9D%97%BB%F0%9D%98%81-%F0%9D%97%AA%F0%9D%97%AE%F0%9D%97%B6%F0%9D%98%81-%F0%9D%97%B3%F0%9D%97%BC%F0%9D%97%BF-ugcPost-7486593490433339393-AKyL,Microsoft Didnt Wait for,Repost+Commentary,Innovation,195,6,5,0,14,0.0718,3
7/24/26,https://www.linkedin.com/posts/s-thiru_free-workshop-worth-your-time-voice-agents-ugcPost-7486545878040702977-qo_e,free workshop worth your time voice agents,Repost+Commentary,Innovation,203,0,0,0,0,0,
7/24/26,https://www.linkedin.com/feed/update/urn:li:share:7486268738783297536,"Jeff's framework assumes you're free to ask ""does this make it cheaper, faster,",Original,Program Mgmt.,136,5,0,0,3,0.0221,0
7/24/26,https://www.linkedin.com/feed/update/urn:li:share:7486479739461914624,"Love the framework suggested here, but I think it underweights how this plays ou",Original,Platform Engg.,72,1,0,0,1,0.0139,0
7/26/26,https://www.linkedin.com/posts/s-thiru_leadership-mentorship-roi-share-7487267195731771392-PDwm,leadership mentorship roi,Repost+Commentary,Reflection,1511,,,,1,0.0007,1
7/26/26,https://www.linkedin.com/feed/update/urn:li:share:7487267195731771392,"@Danielle Romanoff's post  reminded me of the time I ever led a project, I built",Original,Reflection,1232,1,0,0,1,0.0008,0
7/27/26,https://www.linkedin.com/posts/s-thiru_why-platform-thinking-%F0%9D%91%B5%F0%9D%92%86%F0%9D%92%86%F0%9D%92%85%F0%9D%92%94-enterprise-ugcPost-7487469833798893568-CfQn,why platform thinking Needs enterprise,Original,Platform Engg.,54,0,0,0,0,0,0
7/28/26,https://www.linkedin.com/posts/s-thiru_everyone-likes-to-pick-on-the-dmv-my-favorite-ugcPost-7486493027729969153-Q3Od,everyone likes to pick on the dmv my favorite,Original,Platform Engg.,93,0,0,0,0,0,0
7/28/26,https://www.linkedin.com/posts/s-thiru_the-kitchen-nobody-owns-ugcPost-7488033764628066304-1cY0,the kitchen nobody owns,Original,Platform Engg.,118,2,0,0,2,0.0169,0
7/29/26,https://www.linkedin.com/feed/update/urn:li:share:7488337647468351488,Every kitchen has ingredients nobody remembers buying. Enterprise memory works t,Original,Reflection,30,0,0,0,0,0,0
7/29/26,https://www.linkedin.com/posts/s-thiru_from-the-mckinseys-article-what-resonated-share-7488391251663450112-fP6p,from the mckinseys article what resonated,Original,Innovation,68,0,0,0,0,0,3
7/29/26,https://www.linkedin.com/posts/s-thiru_enterprisearchitecture-datagovernance-agenticai-share-7488337647468351488-y_tO,enterprisearchitecture datagovernance agenticai,,Platform Engg.,54,,,,0,0,
